Scenario,Train_Set,Test_Set,Model,Accuracy,Precision,Recall,F1-Score
S1_Baseline,KDD,KDD,M1_LogisticRegression,0.944314053306755,0.9698419719329285,0.9608780526672244,0.9653392035221132
S1_Baseline,KDD,KDD,M2_XGBoost,0.9748095039063756,0.9890200494701068,0.9796621648539899,0.9843188663951405
S1_Baseline,KDD,KDD,M3_IsolationForest,0.19838922290454297,0.5269988783848742,0.06551531811481615,0.11654235246177559
S1_Baseline,CORES,CORES,M1_LogisticRegression,0.9558909541511772,0.9236663516879993,0.9998791113756196,0.9602629193514537
S1_Baseline,CORES,CORES,M2_XGBoost,0.9559058240396531,0.9236537619076252,0.9999256070003812,0.9602775569983122
S1_Baseline,CORES,CORES,M3_IsolationForest,0.47560842627013633,0.5434750037456925,0.10119307773138547,0.17061774851050487
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,0.5566614035256626,0.5565712249675686,0.9674115943545996,0.7066135514011248
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,0.7186835087178796,0.7544503802969938,0.7267973343102877,0.7403657333771692
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,0.46826470390018005,0.5996568896089971,0.10976343748364474,0.18556108135209565
S2_Transfer,KDD,CORES,M1_LogisticRegression,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,0.36812563692815253,0.43869083915462237,0.6494486285689923,0.5236592777041257
S2_Transfer,KDD,CORES,M3_IsolationForest,0.8825494573471273,0.8261964423245298,0.9882830095296706,0.9000001688074262
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,0.5084730994796709,0.5614303928432283,0.49010742854345013,0.5233500888815859
S2_Transfer,KDD,NETFLOW,M2_XGBoost,0.45437408145709485,0.5177001352416283,0.13153286113853097,0.20976931357402212
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,0.5137254920838631,0.5537228771460194,0.6018918684977403,0.5768034691694781
S2_Transfer,CORES,KDD,M1_LogisticRegression,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,0.08388606850165096,0.26823140584694755,0.07972096663418997,0.1229114594235197
S2_Transfer,CORES,KDD,M3_IsolationForest,0.8051017750756361,0.8051690819702704,0.9998961810602309,0.8920292320269878
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672
S2_Transfer,CORES,NETFLOW,M2_XGBoost,0.540440438464786,0.5572412223021461,0.8046640092958434,0.6584774706481465
S2_Transfer,CORES,NETFLOW,M3_IsolationForest,0.5505967008754951,0.550588458435309,0.9999965026924896,0.7101662232783374
S2_Transfer,NETFLOW,KDD,M1_LogisticRegression,0.8103295834150513,0.8161890762548103,0.9866353080228082,0.8933548577203071
S2_Transfer,NETFLOW,KDD,M2_XGBoost,0.09792977503705443,0.1869389960106383,0.03592534619623377,0.060268485148912795
S2_Transfer,NETFLOW,KDD,M3_IsolationForest,0.7307067829687907,0.9931185060708623,0.6701951796067658,0.8003099370589357
S2_Transfer,NETFLOW,CORES,M1_LogisticRegression,0.5348154345783089,0.5348057502178488,1.0,0.6969035008396848
S2_Transfer,NETFLOW,CORES,M2_XGBoost,0.5376734328097801,0.5375509055119728,0.969903961829415,0.6917258542679521
S2_Transfer,NETFLOW,CORES,M3_IsolationForest,0.6145162121758854,0.8303337617391228,0.35089244503432054,0.4933142224249137
S3_Combined,CORES+NETFLOW,KDD,M1_LogisticRegression,0.6142578344784569,0.775743049302711,0.732758069926049,0.7536381277015164
S3_Combined,CORES+NETFLOW,KDD,M2_XGBoost,0.14202534168839562,0.31122812665271676,0.0540457442220767,0.09209832440248363
S3_Combined,CORES+NETFLOW,KDD,M3_IsolationForest,0.7424034414797334,0.9925958490478725,0.6851890303311026,0.8107306194957856
S3_Combined,KDD+NETFLOW,CORES,M1_LogisticRegression,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S3_Combined,KDD+NETFLOW,CORES,M2_XGBoost,0.5316015496437168,0.533453073195486,0.9898882798583062,0.6932903698202958
S3_Combined,KDD+NETFLOW,CORES,M3_IsolationForest,0.4656703160749761,0.5002567519185226,0.8469395131915777,0.628991069695472
S3_Combined,KDD+CORES,NETFLOW,M1_LogisticRegression,0.5331286804897997,0.5668344250310752,0.6447137759817161,0.6032710249789742
S3_Combined,KDD+CORES,NETFLOW,M2_XGBoost,0.47579908719761194,0.5591127796836904,0.22656607244497642,0.3224625079407942
S3_Combined,KDD+CORES,NETFLOW,M3_IsolationForest,0.5505716688513527,0.5505925035586812,0.9996764990552898,0.7100888754603927
