Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score,Threshold
S1_Baseline,KDD,KDD,M1_LogisticRegression,1,0.9414365173777449,0.9870794529742428,0.9395651566274682,0.9627364135715966,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,1,0.9727679002025528,0.9874690251223885,0.9785972408010063,0.983013116200714,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,1,0.3000675176028036,0.6063342536949813,0.37267155150038933,0.461618359877337,
S1_Baseline,KDD,KDD,M1_LogisticRegression,2,0.9424332058000836,0.9874842767295597,0.9404236628266816,0.9633795903340935,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,2,0.9745844452303636,0.9886958974772306,0.979635434344241,0.9841448127162413,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,2,0.2992637366170466,0.6056938343907597,0.3716732884780482,0.4606666501695083,
S1_Baseline,KDD,KDD,M1_LogisticRegression,3,0.9432369867858406,0.9877834122626881,0.9411424122027672,0.9638990276968377,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,3,0.9750024113429573,0.988288795878944,0.9805738015852417,0.9844161831173647,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,3,0.29955309777191913,0.605924625239814,0.372032663166091,0.4610094012864918,
S1_Baseline,KDD,KDD,M1_LogisticRegression,4,0.9433816673632769,0.9881746131588879,0.9409439386679445,0.9639811008161011,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,4,0.9749381088640967,0.9888980677399206,0.9798754192620988,0.9843660686529146,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,4,0.29944056843391315,0.6058546105057733,0.37188548155246764,0.4608761273242364,
S1_Baseline,KDD,KDD,M1_LogisticRegression,5,0.9440077164215095,0.9878569634034,0.9420408489228742,0.9644050648434865,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,5,0.9753396029258098,0.9892975914541973,0.979974843771837,0.9846141501674992,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,5,0.299943734426493,0.6062585299278612,0.3724918641563679,0.46145855233054256,
S1_Baseline,KDD,KDD,M1_LogisticRegression,6,0.9434620454618525,0.9875214605753528,0.9416814742348314,0.9640568631258367,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,6,0.9747291258077999,0.9882258226829023,0.9802942879389862,0.9842440764944073,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,6,0.2986689386875864,0.6052185810150499,0.37093457384151574,0.4599616265395804,
S1_Baseline,KDD,KDD,M1_LogisticRegression,7,0.9432691380252709,0.9874366598266259,0.9415217521512568,0.9639327507792937,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,7,0.9753560749766903,0.9887855359587662,0.9805139058039012,0.9846323492556764,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,7,0.29936019033533745,0.6057707947041411,0.37179308004072914,0.4607809175038353,
