Scenario,Test_Stream,Model,Batch_Idx,F1-Score
S4_Stream,KDD,M1_LogisticRegression,0,0.458559256390395
S4_Stream,KDD,M2_XGBoost,0,0.5675413022351797
S4_Stream,KDD,M3_IsolationForest,0,0.3947100712105799
S4_Stream,KDD,M1_LogisticRegression,1,1.0
S4_Stream,KDD,M2_XGBoost,1,1.0
S4_Stream,KDD,M3_IsolationForest,1,1.0
S4_Stream,KDD,M1_LogisticRegression,2,1.0
S4_Stream,KDD,M2_XGBoost,2,1.0
S4_Stream,KDD,M3_IsolationForest,2,1.0
S4_Stream,KDD,M1_LogisticRegression,3,1.0
S4_Stream,KDD,M2_XGBoost,3,1.0
S4_Stream,KDD,M3_IsolationForest,3,1.0
S4_Stream,KDD,M1_LogisticRegression,4,1.0
S4_Stream,KDD,M2_XGBoost,4,1.0
S4_Stream,KDD,M3_IsolationForest,4,1.0
S4_Stream,KDD,M1_LogisticRegression,5,1.0
S4_Stream,KDD,M2_XGBoost,5,1.0
S4_Stream,KDD,M3_IsolationForest,5,1.0
S4_Stream,KDD,M1_LogisticRegression,6,1.0
S4_Stream,KDD,M2_XGBoost,6,1.0
S4_Stream,KDD,M3_IsolationForest,6,1.0
S4_Stream,KDD,M1_LogisticRegression,7,0.9994997498749375
S4_Stream,KDD,M2_XGBoost,7,1.0
S4_Stream,KDD,M3_IsolationForest,7,1.0
S4_Stream,KDD,M1_LogisticRegression,8,0.6577000672494956
S4_Stream,KDD,M2_XGBoost,8,0.6817813765182186
S4_Stream,KDD,M3_IsolationForest,8,0.6599378881987578
S4_Stream,KDD,M1_LogisticRegression,9,1.0
S4_Stream,KDD,M2_XGBoost,9,1.0
S4_Stream,KDD,M3_IsolationForest,9,1.0
S4_Stream,KDD,M1_LogisticRegression,10,1.0
S4_Stream,KDD,M2_XGBoost,10,1.0
S4_Stream,KDD,M3_IsolationForest,10,1.0
S4_Stream,KDD,M1_LogisticRegression,11,1.0
S4_Stream,KDD,M2_XGBoost,11,1.0
S4_Stream,KDD,M3_IsolationForest,11,1.0
S4_Stream,KDD,M1_LogisticRegression,12,1.0
S4_Stream,KDD,M2_XGBoost,12,1.0
S4_Stream,KDD,M3_IsolationForest,12,1.0
S4_Stream,KDD,M1_LogisticRegression,13,1.0
S4_Stream,KDD,M2_XGBoost,13,1.0
S4_Stream,KDD,M3_IsolationForest,13,1.0
S4_Stream,KDD,M1_LogisticRegression,14,1.0
S4_Stream,KDD,M2_XGBoost,14,1.0
S4_Stream,KDD,M3_IsolationForest,14,1.0
S4_Stream,KDD,M1_LogisticRegression,15,1.0
S4_Stream,KDD,M2_XGBoost,15,1.0
S4_Stream,KDD,M3_IsolationForest,15,1.0
S4_Stream,KDD,M1_LogisticRegression,16,1.0
S4_Stream,KDD,M2_XGBoost,16,1.0
S4_Stream,KDD,M3_IsolationForest,16,1.0
S4_Stream,KDD,M1_LogisticRegression,17,1.0
S4_Stream,KDD,M2_XGBoost,17,1.0
S4_Stream,KDD,M3_IsolationForest,17,1.0
S4_Stream,KDD,M1_LogisticRegression,18,1.0
S4_Stream,KDD,M2_XGBoost,18,1.0
S4_Stream,KDD,M3_IsolationForest,18,1.0
S4_Stream,KDD,M1_LogisticRegression,19,1.0
S4_Stream,KDD,M2_XGBoost,19,1.0
S4_Stream,KDD,M3_IsolationForest,19,1.0
S4_Stream,KDD,M1_LogisticRegression,20,1.0
S4_Stream,KDD,M2_XGBoost,20,1.0
S4_Stream,KDD,M3_IsolationForest,20,1.0
S4_Stream,KDD,M1_LogisticRegression,21,1.0
S4_Stream,KDD,M2_XGBoost,21,1.0
S4_Stream,KDD,M3_IsolationForest,21,1.0
S4_Stream,KDD,M1_LogisticRegression,22,1.0
S4_Stream,KDD,M2_XGBoost,22,1.0
S4_Stream,KDD,M3_IsolationForest,22,1.0
S4_Stream,KDD,M1_LogisticRegression,23,1.0
S4_Stream,KDD,M2_XGBoost,23,1.0
S4_Stream,KDD,M3_IsolationForest,23,1.0
S4_Stream,KDD,M1_LogisticRegression,24,1.0
S4_Stream,KDD,M2_XGBoost,24,1.0
S4_Stream,KDD,M3_IsolationForest,24,1.0
S4_Stream,KDD,M1_LogisticRegression,25,1.0
S4_Stream,KDD,M2_XGBoost,25,1.0
S4_Stream,KDD,M3_IsolationForest,25,1.0
S4_Stream,KDD,M1_LogisticRegression,26,1.0
S4_Stream,KDD,M2_XGBoost,26,1.0
S4_Stream,KDD,M3_IsolationForest,26,1.0
S4_Stream,KDD,M1_LogisticRegression,27,1.0
S4_Stream,KDD,M2_XGBoost,27,1.0
S4_Stream,KDD,M3_IsolationForest,27,1.0
S4_Stream,KDD,M1_LogisticRegression,28,1.0
S4_Stream,KDD,M2_XGBoost,28,1.0
S4_Stream,KDD,M3_IsolationForest,28,1.0
S4_Stream,KDD,M1_LogisticRegression,29,1.0
S4_Stream,KDD,M2_XGBoost,29,1.0
S4_Stream,KDD,M3_IsolationForest,29,1.0
S4_Stream,KDD,M1_LogisticRegression,30,1.0
S4_Stream,KDD,M2_XGBoost,30,1.0
S4_Stream,KDD,M3_IsolationForest,30,1.0
S4_Stream,KDD,M1_LogisticRegression,31,1.0
S4_Stream,KDD,M2_XGBoost,31,1.0
S4_Stream,KDD,M3_IsolationForest,31,1.0
S4_Stream,KDD,M1_LogisticRegression,32,1.0
S4_Stream,KDD,M2_XGBoost,32,1.0
S4_Stream,KDD,M3_IsolationForest,32,1.0
S4_Stream,KDD,M1_LogisticRegression,33,1.0
S4_Stream,KDD,M2_XGBoost,33,1.0
S4_Stream,KDD,M3_IsolationForest,33,1.0
S4_Stream,KDD,M1_LogisticRegression,34,0.8028846153846154
S4_Stream,KDD,M2_XGBoost,34,0.8244846970643348
S4_Stream,KDD,M3_IsolationForest,34,0.9142199194012666
S4_Stream,KDD,M1_LogisticRegression,35,0.10546875
S4_Stream,KDD,M2_XGBoost,35,0.1729490022172949
S4_Stream,KDD,M3_IsolationForest,35,0.6935724962630793
S4_Stream,KDD,M1_LogisticRegression,36,0.19220308250226656
S4_Stream,KDD,M2_XGBoost,36,0.6180758017492711
S4_Stream,KDD,M3_IsolationForest,36,0.0
S4_Stream,KDD,M1_LogisticRegression,37,0.1651376146788991
S4_Stream,KDD,M2_XGBoost,37,0.7452471482889734
S4_Stream,KDD,M3_IsolationForest,37,0.22625400213447172
S4_Stream,KDD,M1_LogisticRegression,38,0.1706422018348624
S4_Stream,KDD,M2_XGBoost,38,0.6283783783783784
S4_Stream,KDD,M3_IsolationForest,38,0.005148005148005148
S4_Stream,KDD,M1_LogisticRegression,39,0.19202898550724637
S4_Stream,KDD,M2_XGBoost,39,0.5776566757493188
S4_Stream,KDD,M3_IsolationForest,39,0.002617801047120419
S4_Stream,KDD,M1_LogisticRegression,40,0.43573667711598746
S4_Stream,KDD,M2_XGBoost,40,0.8691189050470488
S4_Stream,KDD,M3_IsolationForest,40,0.6561264822134387
S4_Stream,KDD,M1_LogisticRegression,41,0.6471787899388172
S4_Stream,KDD,M2_XGBoost,41,0.5174603174603175
S4_Stream,KDD,M3_IsolationForest,41,0.4550561797752809
S4_Stream,KDD,M1_LogisticRegression,42,1.0
S4_Stream,KDD,M2_XGBoost,42,0.0
S4_Stream,KDD,M3_IsolationForest,42,1.0
S4_Stream,KDD,M1_LogisticRegression,43,1.0
S4_Stream,KDD,M2_XGBoost,43,0.0
S4_Stream,KDD,M3_IsolationForest,43,1.0
S4_Stream,KDD,M1_LogisticRegression,44,1.0
S4_Stream,KDD,M2_XGBoost,44,0.0
S4_Stream,KDD,M3_IsolationForest,44,1.0
S4_Stream,KDD,M1_LogisticRegression,45,1.0
S4_Stream,KDD,M2_XGBoost,45,0.0
S4_Stream,KDD,M3_IsolationForest,45,1.0
S4_Stream,KDD,M1_LogisticRegression,46,1.0
S4_Stream,KDD,M2_XGBoost,46,0.0
S4_Stream,KDD,M3_IsolationForest,46,1.0
S4_Stream,KDD,M1_LogisticRegression,47,1.0
S4_Stream,KDD,M2_XGBoost,47,0.0
S4_Stream,KDD,M3_IsolationForest,47,1.0
S4_Stream,KDD,M1_LogisticRegression,48,1.0
S4_Stream,KDD,M2_XGBoost,48,0.0
S4_Stream,KDD,M3_IsolationForest,48,1.0
S4_Stream,KDD,M1_LogisticRegression,49,1.0
S4_Stream,KDD,M2_XGBoost,49,0.0
S4_Stream,KDD,M3_IsolationForest,49,1.0
S4_Stream,KDD,M1_LogisticRegression,50,1.0
S4_Stream,KDD,M2_XGBoost,50,0.0
S4_Stream,KDD,M3_IsolationForest,50,1.0
S4_Stream,KDD,M1_LogisticRegression,51,1.0
S4_Stream,KDD,M2_XGBoost,51,0.0
S4_Stream,KDD,M3_IsolationForest,51,1.0
S4_Stream,KDD,M1_LogisticRegression,52,1.0
S4_Stream,KDD,M2_XGBoost,52,0.0
S4_Stream,KDD,M3_IsolationForest,52,1.0
S4_Stream,KDD,M1_LogisticRegression,53,1.0
S4_Stream,KDD,M2_XGBoost,53,0.0
S4_Stream,KDD,M3_IsolationForest,53,1.0
S4_Stream,KDD,M1_LogisticRegression,54,1.0
S4_Stream,KDD,M2_XGBoost,54,0.0
S4_Stream,KDD,M3_IsolationForest,54,1.0
S4_Stream,KDD,M1_LogisticRegression,55,1.0
S4_Stream,KDD,M2_XGBoost,55,0.0
S4_Stream,KDD,M3_IsolationForest,55,1.0
S4_Stream,KDD,M1_LogisticRegression,56,1.0
S4_Stream,KDD,M2_XGBoost,56,0.0
S4_Stream,KDD,M3_IsolationForest,56,1.0
S4_Stream,KDD,M1_LogisticRegression,57,1.0
S4_Stream,KDD,M2_XGBoost,57,0.0
S4_Stream,KDD,M3_IsolationForest,57,1.0
S4_Stream,KDD,M1_LogisticRegression,58,1.0
S4_Stream,KDD,M2_XGBoost,58,0.0
S4_Stream,KDD,M3_IsolationForest,58,1.0
S4_Stream,KDD,M1_LogisticRegression,59,1.0
S4_Stream,KDD,M2_XGBoost,59,0.0
S4_Stream,KDD,M3_IsolationForest,59,1.0
S4_Stream,KDD,M1_LogisticRegression,60,1.0
S4_Stream,KDD,M2_XGBoost,60,0.0
S4_Stream,KDD,M3_IsolationForest,60,1.0
S4_Stream,KDD,M1_LogisticRegression,61,1.0
S4_Stream,KDD,M2_XGBoost,61,0.0
S4_Stream,KDD,M3_IsolationForest,61,1.0
S4_Stream,KDD,M1_LogisticRegression,62,1.0
S4_Stream,KDD,M2_XGBoost,62,0.0
S4_Stream,KDD,M3_IsolationForest,62,1.0
S4_Stream,KDD,M1_LogisticRegression,63,1.0
S4_Stream,KDD,M2_XGBoost,63,0.0
S4_Stream,KDD,M3_IsolationForest,63,1.0
S4_Stream,KDD,M1_LogisticRegression,64,1.0
S4_Stream,KDD,M2_XGBoost,64,0.0
S4_Stream,KDD,M3_IsolationForest,64,1.0
S4_Stream,KDD,M1_LogisticRegression,65,1.0
S4_Stream,KDD,M2_XGBoost,65,0.0
S4_Stream,KDD,M3_IsolationForest,65,1.0
S4_Stream,KDD,M1_LogisticRegression,66,1.0
S4_Stream,KDD,M2_XGBoost,66,0.0
S4_Stream,KDD,M3_IsolationForest,66,1.0
S4_Stream,KDD,M1_LogisticRegression,67,1.0
S4_Stream,KDD,M2_XGBoost,67,0.0
S4_Stream,KDD,M3_IsolationForest,67,1.0
S4_Stream,KDD,M1_LogisticRegression,68,1.0
S4_Stream,KDD,M2_XGBoost,68,0.0
S4_Stream,KDD,M3_IsolationForest,68,1.0
S4_Stream,KDD,M1_LogisticRegression,69,1.0
S4_Stream,KDD,M2_XGBoost,69,0.0
S4_Stream,KDD,M3_IsolationForest,69,1.0
S4_Stream,KDD,M1_LogisticRegression,70,1.0
S4_Stream,KDD,M2_XGBoost,70,0.0
S4_Stream,KDD,M3_IsolationForest,70,1.0
S4_Stream,KDD,M1_LogisticRegression,71,1.0
S4_Stream,KDD,M2_XGBoost,71,0.0
S4_Stream,KDD,M3_IsolationForest,71,1.0
S4_Stream,KDD,M1_LogisticRegression,72,1.0
S4_Stream,KDD,M2_XGBoost,72,0.0
S4_Stream,KDD,M3_IsolationForest,72,1.0
S4_Stream,KDD,M1_LogisticRegression,73,1.0
S4_Stream,KDD,M2_XGBoost,73,0.0
S4_Stream,KDD,M3_IsolationForest,73,1.0
S4_Stream,KDD,M1_LogisticRegression,74,0.9934376577486118
S4_Stream,KDD,M2_XGBoost,74,0.043052837573385516
S4_Stream,KDD,M3_IsolationForest,74,0.9903307888040712
S4_Stream,KDD,M1_LogisticRegression,75,0.5393093313739897
S4_Stream,KDD,M2_XGBoost,75,0.5634674922600619
S4_Stream,KDD,M3_IsolationForest,75,0.028169014084507043
S4_Stream,KDD,M1_LogisticRegression,76,0.14353163361661944
S4_Stream,KDD,M2_XGBoost,76,0.4906832298136646
S4_Stream,KDD,M3_IsolationForest,76,0.12741751990898748
S4_Stream,KDD,M1_LogisticRegression,77,0.13096351730589337
S4_Stream,KDD,M2_XGBoost,77,0.6633663366336634
S4_Stream,KDD,M3_IsolationForest,77,0.14537902388369678
S4_Stream,KDD,M1_LogisticRegression,78,0.1640552995391705
S4_Stream,KDD,M2_XGBoost,78,0.7083333333333334
S4_Stream,KDD,M3_IsolationForest,78,0.09503695881731784
S4_Stream,KDD,M1_LogisticRegression,79,0.14338919925512103
S4_Stream,KDD,M2_XGBoost,79,0.9568162574089755
S4_Stream,KDD,M3_IsolationForest,79,0.707774798927614
S4_Stream,KDD,M1_LogisticRegression,80,0.041109969167523124
S4_Stream,KDD,M2_XGBoost,80,0.9621353196772191
S4_Stream,KDD,M3_IsolationForest,80,0.8745724059293044
S4_Stream,KDD,M1_LogisticRegression,81,0.10826210826210826
S4_Stream,KDD,M2_XGBoost,81,0.778816199376947
S4_Stream,KDD,M3_IsolationForest,81,0.26217228464419473
S4_Stream,KDD,M1_LogisticRegression,82,0.4239558707643814
S4_Stream,KDD,M2_XGBoost,82,0.9451659451659452
S4_Stream,KDD,M3_IsolationForest,82,0.8412322274881516
S4_Stream,KDD,M1_LogisticRegression,83,0.9944695827048768
S4_Stream,KDD,M2_XGBoost,83,0.0392156862745098
S4_Stream,KDD,M3_IsolationForest,83,1.0
S4_Stream,KDD,M1_LogisticRegression,84,1.0
S4_Stream,KDD,M2_XGBoost,84,0.0
S4_Stream,KDD,M3_IsolationForest,84,1.0
