Scenario,Train_Set,Test_Set,Model,mean,std
S1_Baseline,CORES,CORES,M1_LogisticRegression,0.9612396227490205,0.0002461106555784198
S1_Baseline,CORES,CORES,M2_XGBoost,0.9612498949816033,0.0002504971284231057
S1_Baseline,CORES,CORES,M3_IsolationForest,0.1836843766569709,0.009056693750703334
S1_Baseline,KDD,KDD,M1_LogisticRegression,0.9654096063182245,0.000554010372220393
S1_Baseline,KDD,KDD,M2_XGBoost,0.9841170069108067,0.0005663786478174486
S1_Baseline,KDD,KDD,M3_IsolationForest,0.11892625627307,0.002933628158805626
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,0.7054755674904439,0.0001979977837000471
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,0.740247909950044,0.0006351698156884644
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,0.18401059985385165,0.0043963651161462855
S2_Transfer,CORES,KDD,M1_LogisticRegression,0.1241822225092966,0.0
S2_Transfer,CORES,KDD,M2_XGBoost,0.1229114594235197,0.0
S2_Transfer,CORES,KDD,M3_IsolationForest,0.8918792093498797,0.00021216410462974336
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,0.6584779505672,0.0
S2_Transfer,CORES,NETFLOW,M2_XGBoost,0.6584774706481465,0.0
S2_Transfer,CORES,NETFLOW,M3_IsolationForest,0.7101622839405984,5.571064857278628e-06
S2_Transfer,KDD,CORES,M1_LogisticRegression,0.6968940480719484,0.0
S2_Transfer,KDD,CORES,M2_XGBoost,0.5236592777041257,0.0
S2_Transfer,KDD,CORES,M3_IsolationForest,0.9200054549493903,0.028291746981120382
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,0.5233500888815859,0.0
S2_Transfer,KDD,NETFLOW,M2_XGBoost,0.20976931357402212,0.0
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,0.5903301610725593,0.019129631143379646
S2_Transfer,NETFLOW,CORES,M1_LogisticRegression,0.6969035008396848,0.0
S2_Transfer,NETFLOW,CORES,M2_XGBoost,0.6917258542679521,0.0
S2_Transfer,NETFLOW,CORES,M3_IsolationForest,0.4932969495651341,2.442751256126984e-05
S2_Transfer,NETFLOW,KDD,M1_LogisticRegression,0.8933548577203071,0.0
S2_Transfer,NETFLOW,KDD,M2_XGBoost,0.060268485148912795,0.0
S2_Transfer,NETFLOW,KDD,M3_IsolationForest,0.7996924648715493,0.0008732375417901345
S3_Combined,CORES+NETFLOW,KDD,M1_LogisticRegression,0.7536381277015164,0.0
S3_Combined,CORES+NETFLOW,KDD,M2_XGBoost,0.09209832440248363,0.0
S3_Combined,CORES+NETFLOW,KDD,M3_IsolationForest,0.8054705849401034,0.007438812207196971
S3_Combined,KDD+CORES,NETFLOW,M1_LogisticRegression,0.6032710249789742,0.0
S3_Combined,KDD+CORES,NETFLOW,M2_XGBoost,0.3224625079407942,0.0
S3_Combined,KDD+CORES,NETFLOW,M3_IsolationForest,0.7101750725514469,0.00012190109520603961
S3_Combined,KDD+NETFLOW,CORES,M1_LogisticRegression,0.6968940480719484,0.0
S3_Combined,KDD+NETFLOW,CORES,M2_XGBoost,0.6932903698202958,0.0
S3_Combined,KDD+NETFLOW,CORES,M3_IsolationForest,0.6347795653588153,0.008186169072837784
