Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score
S1_Baseline,KDD,KDD,M1_LogisticRegression,1,0.9440086165321673,0.9703483912639781,0.9597899654600994,0.9650402995111865
S1_Baseline,KDD,KDD,M2_XGBoost,1,0.9727839758222679,0.9874889193327424,0.9785972408010063,0.9830229736369744
S1_Baseline,KDD,KDD,M3_IsolationForest,1,0.20223129601646145,0.5374857700439096,0.06598518577674846,0.11754036560210541
S1_Baseline,KDD,KDD,M1_LogisticRegression,2,0.9438639359547311,0.9690551450602992,0.9609679158264619,0.964994586791772
S1_Baseline,KDD,KDD,M2_XGBoost,2,0.9746165964697939,0.9886766602192134,0.9796953301255815,0.9841655050692446
S1_Baseline,KDD,KDD,M3_IsolationForest,2,0.20520528566376234,0.5513840279987273,0.06919959270868689,0.12296666844056552
S1_Baseline,KDD,KDD,M1_LogisticRegression,3,0.9448927756165,0.969038380345403,0.9623055882763991,0.9656602488329694
S1_Baseline,KDD,KDD,M2_XGBoost,3,0.9749702601035269,0.9882686735350934,0.9805538363247949,0.9843961396229819
S1_Baseline,KDD,KDD,M3_IsolationForest,3,0.20136321255184386,0.5323580855461918,0.06684369197596182,0.11877394636015326
S1_Baseline,KDD,KDD,M1_LogisticRegression,4,0.9450535318136514,0.9701035496998267,0.9613879571953362,0.9657260894851895
S1_Baseline,KDD,KDD,M2_XGBoost,4,0.9748738063852361,0.9888971729099079,0.9797955598147261,0.98432532718247
S1_Baseline,KDD,KDD,M3_IsolationForest,4,0.20110600263640163,0.5328088382992969,0.06354815524676569,0.11355285219935071
S1_Baseline,KDD,KDD,M1_LogisticRegression,5,0.9448115103287517,0.9698477280051563,0.9613472557749516,0.9655787837770091
S1_Baseline,KDD,KDD,M2_XGBoost,5,0.9752913752913753,0.9892772201394767,0.9799349132509434,0.9845839058785769
S1_Baseline,KDD,KDD,M3_IsolationForest,5,0.20472630817458404,0.5502197623311086,0.06748258031026015,0.1202205228525698
S1_Baseline,KDD,KDD,M1_LogisticRegression,6,0.9449570780953606,0.969342801392046,0.9620660051510372,0.9656906952043127
S1_Baseline,KDD,KDD,M2_XGBoost,6,0.9747130501880847,0.9882452397246487,0.9802543574180925,0.984233579568804
S1_Baseline,KDD,KDD,M3_IsolationForest,6,0.20219914477703116,0.5373839387522398,0.06586539421406752,0.11734784619215309
S1_Baseline,KDD,KDD,M1_LogisticRegression,7,0.9460180689965598,0.9701390425981448,0.9625851019226546,0.9663473101900104
S1_Baseline,KDD,KDD,M2_XGBoost,7,0.9753560749766903,0.9887461749073925,0.9805538363247949,0.9846329654467266
S1_Baseline,KDD,KDD,M3_IsolationForest,7,0.20456226087515675,0.5489183080400387,0.06788188551919659,0.12082230237557968
S1_Baseline,KDD,KDD,M1_LogisticRegression,8,0.945005304954506,0.9700064458947708,0.9614271168167389,0.9656977268853215
S1_Baseline,KDD,KDD,M2_XGBoost,8,0.9755329067935569,0.9890045713595264,0.9805139058039012,0.9847409367982034
S1_Baseline,KDD,KDD,M3_IsolationForest,8,0.20115422949554707,0.5319597663854639,0.06546608900513107,0.1165845940516613
S1_Baseline,KDD,KDD,M1_LogisticRegression,9,0.942931550011253,0.9688305931656995,0.9600103817281584,0.9644003208985158
