Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_1_Fold_1,0.944314053306755,0.9698419719329285,0.9608780526672244,0.9653392035221132
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_1_Fold_1,0.9748095039063756,0.9890200494701068,0.9796621648539899,0.9843188663951405
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_1_Fold_1,0.20187763238272835,0.5442774936061381,0.0678259830285646,0.12062063835063233
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_1_Fold_2,0.9447963218982092,0.9697304685144614,0.9615744892874938,0.9656352573853174
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_1_Fold_2,0.9742629328360608,0.9885147638587175,0.9794718485301445,0.983972530057763
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_1_Fold_2,0.2026171108896248,0.5465172917681442,0.06708520179372197,0.11950154436042178
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_1_Fold_3,0.9447963218982092,0.968900437085826,0.9621947072590162,0.9655359293456444
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_1_Fold_3,0.9751631675401087,0.9879738930744127,0.981037345228332,0.9844934009133337
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_1_Fold_3,0.20538211748062887,0.544874860513311,0.0683695717400436,0.12149433050154623
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_1_Fold_4,0.9446837925602032,0.9698625166310527,0.961124318277164,0.9654736461876524
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_1_Fold_4,0.9735556055685947,0.9879454926624738,0.9790838444173642,0.9834947072693523
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_1_Fold_4,0.2066360158184098,0.5556432517758485,0.07031983538765807,0.12484040289402752
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_1_Fold_5,0.9440880958122337,0.9700955729324524,0.960047191505529,0.9650452261306532
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_1_Fold_5,0.9742625190901053,0.9887919544408094,0.979083764922314,0.9839139128075799
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_1_Fold_5,0.20426010770838357,0.5422185430463576,0.06548821212181807,0.11686203143677854
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_2_Fold_1,0.9432530624055557,0.9701567828245122,0.9590871915581177,0.9645902297121075
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_2_Fold_1,0.9740861010191942,0.9887776277879636,0.9789551375396461,0.9838418668056613
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_2_Fold_1,0.2055428736777803,0.5579273260550758,0.06830105124573617,0.12170327717352669
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_2_Fold_2,0.9456322541233965,0.9700615669389562,0.9622016444479924,0.966115619677387
